H_DNG_CD,DO_NM,CT_NM,DONG_NEW,법정동코드,DONG_OLD,생성일자,말소일자
1100000000,서울특별시,,,1100000000,서울특별시,19880423,
1111000000,서울특별시,종로구,,1111000000,종로구,19880423,
1111051500,서울특별시,종로구,청운효자동,1111010100,청운동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111010200,신교동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111010300,궁정동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111010400,효자동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111010500,창성동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111010800,통인동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111010900,누상동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111011000,누하동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111011100,옥인동,20081101,
1111051500,서울특별시,종로구,청운효자동,1111011900,세종로,20081101,
1111053000,서울특별시,종로구,사직동,1111010600,통의동,19880423,
1111053000,서울특별시,종로구,사직동,1111010700,적선동,19880423,
1111053000,서울특별시,종로구,사직동,1111011200,체부동,19880423,
1111053000,서울특별시,종로구,사직동,1111011300,필운동,19880423,
1111053000,서울특별시,종로구,사직동,1111011400,내자동,19880423,
1111053000,서울특별시,종로구,사직동,1111011500,사직동,19880423,
1111053000,서울특별시,종로구,사직동,1111011600,도렴동,19981201,
1111053000,서울특별시,종로구,사직동,1111011700,당주동,19981201,
1111053000,서울특별시,종로구,사직동,1111011800,내수동,19981201,
1111053000,서울특별시,종로구,사직동,1111011900,세종로,19981201,
1111053000,서울특별시,종로구,사직동,1111012000,신문로1가,19981201,
1111053000,서울특별시,종로구,사직동,1111012100,신문로2가,19981201,
1111054000,서울특별시,종로구,삼청동,1111013900,팔판동,19880423,
1111054000,서울특별시,종로구,삼청동,1111014000,삼청동,19880423,
1111054000,서울특별시,종로구,삼청동,1111014100,안국동,19880423,
1111054000,서울특별시,종로구,삼청동,1111014200,소격동,19880423,
1111054000,서울특별시,종로구,삼청동,1111014300,화동,19880423,
1111054000,서울특별시,종로구,삼청동,1111014400,사간동,19880423,
1111054000,서울특별시,종로구,삼청동,1111014500,송현동,19880423,
1111055000,서울특별시,종로구,부암동,1111018400,부암동,19880423,
1111055000,서울특별시,종로구,부암동,1111018500,홍지동,19880423,
1111055000,서울특별시,종로구,부암동,1111018600,신영동,19880423,
1111056000,서울특별시,종로구,평창동,1111018200,구기동,19880423,
1111056000,서울특별시,종로구,평창동,1111018300,평창동,19880423,
1111057000,서울특별시,종로구,무악동,1111018700,무악동,19880423,
1111058000,서울특별시,종로구,교남동,1111017600,교남동,19880423,
1111058000,서울특별시,종로구,교남동,1111017700,평동,19880423,
1111058000,서울특별시,종로구,교남동,1111017800,송월동,19880423,
1111058000,서울특별시,종로구,교남동,1111017900,홍파동,19880423,
1111058000,서울특별시,종로구,교남동,1111018000,교북동,19880423,
1111058000,서울특별시,종로구,교남동,1111018100,행촌동,19880423,
1111060000,서울특별시,종로구,가회동,1111014600,가회동,19880423,
1111060000,서울특별시,종로구,가회동,1111014700,재동,19880423,
1111060000,서울특별시,종로구,가회동,1111014800,계동,19880423,
1111060000,서울특별시,종로구,가회동,1111014900,원서동,19880423,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111011900,세종로,20110501,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111012200,청진동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111012300,서린동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111012400,수송동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111012500,중학동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111012600,종로1가,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111012700,공평동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111012800,관훈동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111012900,견지동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111013000,와룡동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111013100,권농동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111013200,운니동,19981201,
1111061500,서울특별시,종로구,종로1.2.3.4가동,1111013300,익선동,19981201,
