date	time	code	pop_total	pop_man_0_9	pop_man_10_14	pop_man_15_19	pop_man_20_24	pop_man_25_29	pop_man_30_34	pop_man_35_39	pop_man_40_44	pop_man_45_49	pop_man_50_54	pop_man_55_59	pop_man_60_64	pop_man_65_69	pop_man_70_over	pop_woman_0_9	pop_woman_10_14	pop_woman_15_19	pop_woman_20_24	pop_woman_25_29	pop_woman_30_34	pop_woman_35_39	pop_woman_40_44	pop_woman_45_49	pop_woman_50_54	pop_woman_55_59	pop_woman_60_64	pop_woman_65_69	pop_woman_70_over
20181001	09	11110710	19014.0901	158.1394	79.0696	536.4122	425.7815	653.7425	760.6582	801.6383	715.3469	815.5183	788.7326	872.6377	757.3314	412.6432	848.5037	175.3407	72.8943	211.7562	667.4846	863.9553	784.1893	918.2956	1009.4802	1140.6055	914.067	956.0355	788.4344	537.0578	1348.3391
20181001	09	11140520	68031.7291	1008.1373	146.6382	193.0191	978.9579	3277.7405	4736.0578	5398.5087	5233.1992	5070.6378	3499.0	2301.2396	1366.6278	768.9668	1191.2661	873.4152	426.7827	1259.0847	2236.9376	5196.9116	4823.2593	4170.8744	3217.3295	3096.2843	2199.8159	1905.9019	1299.1779	681.1468	1474.8106
20181001	09	11140540	54221.4225	182.2565	76.3295	225.7077	830.8506	2420.2164	3406.9723	4201.015	3785.9563	3438.4342	2562.0542	1895.221	1301.8919	854.3835	1568.3751	141.0103	50.1112	379.7779	1696.1551	3223.6813	3196.4767	3154.1283	2886.1914	2731.4427	2392.2521	2457.2031	1841.1152	932.2659	2389.9471
20181001	09	11140550	78331.6754	661.958	202.2649	249.1045	1170.2876	3974.3606	5629.8438	6885.6163	5931.5064	5932.0723	3884.9395	2592.5687	1715.0978	1016.7411	1752.4499	482.377	185.5295	882.5351	3622.4746	6276.0398	5691.3406	5017.2912	3666.8661	2901.3854	2098.7636	1976.1045	1558.5169	828.2273	1545.4126
20181001	09	11140570	24899.235	201.1853	67.0617	724.7086	1662.1748	1157.7358	1073.8879	1191.5723	1443.3482	1516.2737	1235.1953	1093.7017	701.2541	448.0515	826.0545	243.6815	114.944	1022.3568	1837.3949	1326.0682	1098.1787	911.8512	881.3857	904.038	649.1392	590.5585	444.3445	369.3244	1163.7636
20181001	09	11140580	18401.3552	117.5054	67.7151	460.3955	1161.9267	1061.8917	913.0418	961.516	958.2362	909.4302	792.6419	697.7955	516.3292	352.3404	483.7021	139.5567	81.1967	504.1695	1495.6779	1129.62	1007.0756	825.3089	643.7728	591.4677	571.8456	448.5924	446.1874	331.073	731.3441
20181001	09	11140590	32340.236	259.8053	125.5238	548.2291	820.7801	1411.8664	1688.0289	2024.6865	1762.2403	1864.0514	1507.6507	1600.4357	1307.743	818.3397	1251.4996	152.5136	84.3309	467.5445	1363.7844	1837.9977	1617.8922	1558.763	1281.1538	1390.2442	1176.2374	1216.4791	1032.4729	755.4821	1414.4602
20181001	09	11140605	32769.6777	156.7256	63.851	100.6841	589.3344	1168.4743	1725.0699	2033.9107	1970.9369	2653.8502	2219.4834	2164.2353	1612.138	1118.0429	2056.3041	125.5317	54.579	140.2898	985.1086	1601.5136	1328.5847	1228.3658	1218.0947	1344.5087	1141.7712	1228.7782	890.8932	637.9909	1210.6276
20181001	09	11140615	34316.5397	206.9791	150.8221	1015.3162	1520.0151	1395.0897	1795.0801	2060.4418	1537.5474	1459.0534	1185.9659	1326.6769	991.1572	605.5308	1070.8065	247.6849	106.7154	473.9787	1058.2636	1746.1395	1984.6213	2151.5219	1619.7028	1682.838	1404.2826	1554.3012	1185.692	820.0113	1960.3033
20181001	09	11140625	16804.6491	359.6687	198.6911	544.7496	440.2405	648.031	629.666	850.2664	645.0778	678.0031	505.0786	596.6456	496.4526	449.781	831.2012	369.2677	177.4772	232.2574	689.1727	883.9655	762.9195	733.1602	633.1767	714.8954	595.7042	655.8624	648.6603	458.3581	1376.2187
